Orthogroup	Aspergillus_eucalypticola	Aspergillus_luchuensis	Aspergillus_neoniger	Aspergillus_niger_ASM285	Aspergillus_niger_CBS101883	Aspergillus_piperis	Aspergillus_tubingensis	Aspergillus_vadensis	Aspergillus_welwitschiae_cbs	Aspergillus_welwitschiae_ccmb663	Aspergillus_welwitschiae_ccmb674	Aspergillus_welwitschiae_ihem	Aspergillus_welwitschiae_imrd1	Aspergillus_welwitschiae_item	Aspergillus_welwitschiae_ocstreb1	Aspergillus_welwitschiae_ref_cbs	Neurospora_crassa
OG0007027	XP_025385761.1	XP_041538872.1	XP_025475432.1	XP_059603378.1	XP_025455242.1	XP_025520216.1	XP_035360260.1	XP_025565862.1	gene_08965.t1	gene_04087.t1	gene_07335.t1	gene_05485.t1	gene_00553.t1	gene_08635.t1	gene_11071.t1	XP_026623747.1	
OG0007028	XP_025385763.1	XP_041538870.1	XP_025475430.1	XP_001389862.3	XP_025455240.1	XP_025520214.1	XP_035360262.1	XP_025565864.1	gene_08967.t1	gene_04090.t1	gene_07338.t1	gene_05482.t1	gene_00555.t1	gene_08637.t1	gene_11069.t1	XP_026623749.1	
OG0007029	XP_025385766.1	XP_041538866.1	XP_025475427.1	XP_001389865.3	XP_025455236.1	XP_025520211.1	XP_035360265.1	XP_025565868.1	gene_08970.t1	gene_04093.t1	gene_07342.t1	gene_05478.t1	gene_00559.t1	gene_08641.t1	gene_11066.t1	XP_026623752.1	
OG0007030	XP_025385769.1	XP_041538862.1	XP_025475424.1	XP_059603381.1	XP_025455233.1	XP_025520208.1	XP_035360269.1	XP_025565871.1	gene_08974.t1	gene_04097.t1	gene_07346.t1	gene_05474.t1	gene_00563.t1	gene_08645.t1	gene_11062.t1	XP_026623756.1	
OG0007031	XP_025385770.1	XP_041538861.1	XP_025475423.1	XP_001389870.1	XP_025455232.1	XP_025520207.1	XP_035360270.1	XP_025565872.1	gene_08975.t1	gene_04098.t1	gene_07347.t1	gene_05473.t1	gene_00564.t1	gene_08646.t1	gene_11061.t1	XP_026623757.1	
OG0007032	XP_025385771.1	XP_041538860.1	XP_025475422.1	XP_001389872.1	XP_025455231.1	XP_025520206.1	XP_035360271.1	XP_025565873.1	gene_08976.t1	gene_04099.t1	gene_07348.t1	gene_05472.t1	gene_00565.t1	gene_08647.t1	gene_11060.t1	XP_026623758.1	
OG0007033	XP_025385772.1	XP_041538859.1	XP_025475421.1	XP_001389874.3	XP_025455230.1	XP_025520205.1	XP_035360272.1	XP_025565874.1	gene_08977.t1	gene_04100.t1	gene_07349.t1	gene_05471.t1	gene_00566.t1	gene_08648.t1	gene_11059.t1	XP_026623759.1	
OG0007034	XP_025385774.1	XP_041538857.1	XP_025475419.1	XP_001389876.1	XP_025455228.1	XP_025520203.1	XP_035360274.1	XP_025565876.1	gene_08979.t1	gene_04102.t1	gene_07351.t1	gene_05469.t1	gene_00568.t1	gene_08650.t1	gene_11057.t1	XP_026623760.1	
OG0007035	XP_025385776.1	XP_041538854.1	XP_025475417.1	XP_001389878.1	XP_025455226.1	XP_025520201.1	XP_035360276.1	XP_025565878.1	gene_08981.t1	gene_04104.t1	gene_07353.t1	gene_05467.t1	gene_00570.t1	gene_08652.t1	gene_11055.t1	XP_026623762.1	
OG0007036	XP_025385777.1	XP_041538853.1	XP_025475416.1	XP_059599867.1	XP_025455225.1	XP_025520200.1	XP_035360277.1	XP_025565879.1	gene_08982.t1	gene_04105.t1	gene_07354.t1	gene_05466.t1	gene_00571.t1	gene_08653.t1	gene_11054.t1	XP_026623763.1	
OG0007037	XP_025385778.1	XP_041538852.1	XP_025473872.1	XP_001389880.1	XP_025455224.1	XP_025520199.1	XP_035360278.1	XP_025565880.1	gene_08983.t1	gene_04106.t1	gene_07355.t1	gene_05465.t1	gene_00572.t1	gene_08654.t1	gene_11053.t1	XP_026623764.1	
OG0007038	XP_025385779.1	XP_041538851.1	XP_025473870.1	XP_001389881.1	XP_025455223.1	XP_025520198.1	XP_035360279.1	XP_025565881.1	gene_08984.t1	gene_04107.t1	gene_07356.t1	gene_05464.t1	gene_00573.t1	gene_08655.t1	gene_11051.t1	XP_026623765.1	
OG0007039	XP_025385782.1	XP_041538848.1	XP_025473868.1	XP_001389882.1	XP_025455222.1	XP_025520196.1	XP_035360281.1	XP_025565883.1	gene_08985.t1	gene_04109.t1	gene_07358.t1	gene_05462.t1	gene_00575.t1	gene_08657.t1	gene_11049.t1	XP_026623766.1	
OG0007040	XP_025385783.1	XP_041538847.1	XP_025473867.1	XP_001389883.1	XP_025455221.1	XP_025520195.1	XP_035360282.1	XP_025565884.1	gene_08986.t1	gene_04110.t1	gene_07359.t1	gene_05461.t1	gene_00576.t1	gene_08658.t1	gene_11048.t1	XP_026623767.1	
OG0007041	XP_025385784.1	XP_041538845.1	XP_025473865.1	XP_059599868.1	XP_025455219.1	XP_025520193.1	XP_035360284.1	XP_025565886.1	gene_08988.t1	gene_04112.t1	gene_07362.t1	gene_05459.t1	gene_00579.t1	gene_08661.t1	gene_11046.t1	XP_026623769.1	
OG0007042	XP_025385786.1	XP_041538843.1	XP_025473863.1	XP_001389886.1	XP_025455217.1	XP_025520191.1	XP_035360286.1	XP_025565888.1	gene_08990.t1	gene_04114.t1	gene_07364.t1	gene_05457.t1	gene_00581.t1	gene_08663.t1	gene_11044.t1	XP_026623771.1	
OG0007043	XP_025385787.1	XP_041538842.1	XP_025473862.1	XP_059599869.1	XP_025455216.1	XP_025520190.1	XP_035360287.1	XP_025565889.1	gene_08991.t1	gene_04115.t1	gene_07365.t1	gene_05456.t1	gene_00582.t1	gene_08664.t1	gene_11043.t1	XP_026623772.1	
OG0007044	XP_025385788.1	XP_041538840.1	XP_025473860.1	XP_059599870.1	XP_025455214.1	XP_025520189.1	XP_035360289.1	XP_025565891.1	gene_08993.t1	gene_04117.t1	gene_07367.t1	gene_05454.t1	gene_00584.t1	gene_08666.t1	gene_11041.t1	XP_026623774.1	
OG0007045	XP_025385789.1	XP_041538839.1	XP_025473859.1	XP_059599871.1	XP_025455213.1	XP_025520188.1	XP_035360290.1	XP_025565892.1	gene_08994.t1	gene_04118.t1	gene_07368.t1	gene_05453.t1	gene_00585.t1	gene_08667.t1	gene_11040.t1	XP_026623775.1	
OG0007046	XP_025385791.1	XP_041538837.1	XP_025473856.1	XP_059599876.1	XP_025455211.1	XP_025520185.1	XP_035360293.1	XP_025565895.1	gene_08996.t1	gene_04120.t1	gene_07371.t1	gene_05451.t1	gene_00588.t1	gene_08670.t1	gene_11037.t1	XP_026623778.1	
OG0007047	XP_025385792.1	XP_041538836.1	XP_025473855.1	XP_001389897.1	XP_025455210.1	XP_025520184.1	XP_035360294.1	XP_025565896.1	gene_08997.t1	gene_04121.t1	gene_07372.t1	gene_05450.t1	gene_00589.t1	gene_08671.t1	gene_11036.t1	XP_026623779.1	
OG0007048	XP_025385793.1	XP_041538835.1	XP_025473854.1	XP_001389898.1	XP_025455209.1	XP_025520183.1	XP_035360295.1	XP_025565897.1	gene_08998.t1	gene_04122.t1	gene_07373.t1	gene_05449.t1	gene_00590.t1	gene_08672.t1	gene_11035.t1	XP_026623780.1	
OG0007049	XP_025385798.1	XP_041538830.1	XP_025473850.1	XP_059599878.1	XP_025455204.1	XP_025520179.1	XP_035360300.1	XP_025565902.1	gene_09003.t1	gene_04127.t1	gene_07378.t1	gene_05445.t1	gene_00597.t1	gene_08677.t1	gene_11030.t1	XP_026623784.1	
OG0007050	XP_025385816.1	XP_041537881.1	XP_025474962.1	XP_001400511.3	XP_025458549.1	XP_025513595.1	XP_035355874.1	XP_025562627.1	gene_09567.t1	gene_04168.t1	gene_12848.t1	gene_00247.t1	gene_02120.t1	gene_02606.t1	gene_02048.t1	XP_026623123.1	
OG0007051	XP_025385818.1	XP_041537878.1	XP_025474959.1		XP_025458548.1	XP_025513598.1	XP_035355872.1	XP_025562628.1	gene_09570.t1	gene_04171.t1	gene_12846.t1	gene_00244.t1	gene_02117.t1	gene_02603.t1	gene_02046.t1	XP_026623124.1	XP_964297.1
OG0007052	XP_025385819.1	XP_041537877.1	XP_025474958.1	XP_059600139.1	XP_025458547.1	XP_025513599.1	XP_035355871.1	XP_025562629.1	gene_09571.t1	gene_04172.t1	gene_12845.t1	gene_00243.t1	gene_02116.t1	gene_02602.t1	gene_02045.t1	XP_026623125.1	
OG0007053	XP_025385823.1	XP_041537874.1	XP_025474955.1	XP_001400502.1	XP_025458542.1	XP_025513603.1	XP_035355868.1	XP_025562632.1	gene_09575.t1	gene_04175.t1	gene_12841.t1	gene_00240.t1	gene_02113.t1	gene_02598.t1	gene_02042.t1	XP_026623131.1	
OG0007054	XP_025385828.1	XP_041537870.1	XP_025474951.1	XP_001400499.1	XP_025458539.1	XP_025513607.1	XP_035355864.1	XP_025562636.1	gene_09578.t1	gene_04178.t1	gene_12838.t1	gene_00237.t1	gene_02110.t1	gene_02595.t1	gene_02039.t1	XP_026623134.1	
OG0007055	XP_025385830.1	XP_041537868.1	XP_025474948.1	XP_059600132.1	XP_025458537.1	XP_025513609.1	XP_035355862.1	XP_025562638.1	gene_09580.t1	gene_04180.t1	gene_12836.t1	gene_00235.t1	gene_02108.t1	gene_02593.t1	gene_02037.t1	XP_026623136.1	
OG0007056	XP_025385831.1	XP_041537867.1	XP_025474947.1	XP_059600131.1	XP_025458536.1	XP_025513610.1	XP_035355861.1	XP_025562639.1	gene_09581.t1	gene_04181.t1	gene_12835.t1	gene_00234.t1	gene_02107.t1	gene_02592.t1	gene_02036.t1	XP_026623137.1	
OG0007057	XP_025385833.1	XP_041537865.1	XP_025474945.1	XP_001400494.1	XP_025458534.1	XP_025513612.1	XP_035355859.1	XP_025562641.1	gene_09583.t1	gene_04183.t1	gene_12833.t1	gene_00232.t1	gene_02105.t1	gene_02590.t1	gene_02034.t1	XP_026623139.1	
OG0007058	XP_025385834.1	XP_041537864.1	XP_025474944.1	XP_001400493.1	XP_025458533.1	XP_025513613.1	XP_035355858.1	XP_025562642.1	gene_09584.t1	gene_04184.t1	gene_12832.t1	gene_00231.t1	gene_02104.t1	gene_02589.t1	gene_02033.t1	XP_026623140.1	
OG0007059	XP_025385846.1	XP_041537851.1	XP_025481366.1	XP_001400480.1	XP_025458521.1	XP_025510064.1	XP_035355845.1	XP_025562654.1	gene_09596.t1	gene_04196.t1	gene_12820.t1	gene_00219.t1	gene_02092.t1	gene_02577.t1	gene_02021.t1	XP_026623153.1	
OG0007060	XP_025385848.1	XP_041537849.1	XP_025481364.1	XP_001400478.1	XP_025458519.1	XP_025510066.1	XP_035355843.1	XP_025562656.1	gene_09157.t1	gene_04198.t1	gene_12818.t1	gene_00217.t1	gene_02090.t1	gene_02575.t1	gene_02019.t1	XP_026623624.1	
OG0007061	XP_025385852.1	XP_041537844.1	XP_025481358.1	XP_001400476.3	XP_025458515.1	XP_025510071.1	XP_035355839.1	XP_025562660.1	gene_09153.t1	gene_04202.t1	gene_12815.t1	gene_00213.t1	gene_02086.t1	gene_02571.t1	gene_02015.t1	XP_026623620.1	
OG0007062	XP_025385853.1	XP_041537843.1	XP_025481357.1	XP_001400475.1	XP_025458514.1	XP_025510072.1	XP_035355838.1	XP_025562661.1	gene_09152.t1	gene_04203.t1	gene_12814.t1	gene_00212.t1	gene_02085.t1	gene_02570.t1	gene_02014.t1	XP_026623619.1	
OG0007063	XP_025385854.1	XP_041537842.1	XP_025481355.1	XP_001400474.1	XP_025458513.1	XP_025510073.1	XP_035355837.1	XP_025562662.1	gene_09151.t1	gene_04204.t1	gene_12813.t1	gene_00211.t1	gene_02084.t1	gene_02569.t1	gene_02013.t1	XP_026623617.1	
OG0007064	XP_025385857.1	XP_041537838.1	XP_025481351.1	XP_001400471.1	XP_025458509.1	XP_025510077.1	XP_035355833.1	XP_025562666.1	gene_09147.t1	gene_04208.t1	gene_12809.t1	gene_00207.t1	gene_02080.t1	gene_02565.t1	gene_02009.t1	XP_026623613.1	
OG0007065	XP_025385859.1	XP_041537836.1	XP_025481349.1	XP_059605175.1	XP_025458507.1	XP_025510080.1	XP_035355831.1	XP_025562670.1	gene_10021.t1	gene_04210.t1	gene_12807.t1	gene_00205.t1	gene_02078.t1	gene_02563.t1	gene_02007.t1	XP_026622738.1	
OG0007066	XP_025385863.1	XP_041537832.1	XP_025481345.1	XP_001400465.1	XP_025458503.1	XP_025510085.1	XP_035355827.1	XP_025562674.1	gene_10017.t1	gene_04214.t1	gene_12803.t1	gene_00201.t1	gene_02074.t1	gene_02559.t1	gene_02003.t1	XP_026622734.1	
OG0007067	XP_025385864.1	XP_041537831.1	XP_025481344.1	XP_059605173.1	XP_025458502.1	XP_025510086.1	XP_035355826.1	XP_025562675.1	gene_10016.t1	gene_04215.t1	gene_12802.t1	gene_00200.t1	gene_02073.t1	gene_02558.t1	gene_02002.t1	XP_026622733.1	
OG0007068	XP_025385865.1	XP_041537830.1	XP_025481343.1	XP_059605172.1	XP_025458501.1	XP_025510087.1	XP_035355825.1	XP_025562676.1	gene_10015.t1	gene_04216.t1	gene_12801.t1	gene_00199.t1	gene_02072.t1	gene_02557.t1	gene_02001.t1	XP_026622732.1	
OG0007069	XP_025385869.1	XP_041537826.1	XP_025481339.1	XP_003188625.2	XP_025458499.1	XP_025510090.1	XP_035355821.1	XP_025562680.1	gene_10013.t1	gene_04218.t1	gene_12799.t1	gene_00197.t1	gene_02070.t1	gene_02555.t1	gene_01999.t1	XP_026622730.1	
OG0007070	XP_025385870.1	XP_041537825.1	XP_025481338.1	XP_001400460.1	XP_025458498.1	XP_025510091.1	XP_035355820.1	XP_025562681.1	gene_10012.t1	gene_04219.t1	gene_12798.t1	gene_00196.t1	gene_02069.t1	gene_02554.t1	gene_01998.t1	XP_026622729.1	
OG0007071	XP_025385871.1	XP_041537824.1	XP_025481337.1	XP_001400459.1	XP_025458497.1	XP_025510092.1	XP_035355819.1	XP_025562682.1	gene_10011.t1	gene_04220.t1	gene_12797.t1	gene_00195.t1	gene_02068.t1	gene_02553.t1	gene_01997.t1	XP_026622728.1	
OG0007072	XP_025385872.1	XP_041537823.1	XP_025481336.1	XP_059605170.1	XP_025458496.1	XP_025510093.1	XP_035355818.1	XP_025562683.1	gene_10010.t1	gene_04221.t1	gene_12796.t1	gene_00194.t1	gene_02067.t1	gene_02552.t1	gene_01996.t1	XP_026622727.1	
OG0007073	XP_025385873.1	XP_041537822.1	XP_025481335.1	XP_059605169.1	XP_025458495.1	XP_025510094.1	XP_035355817.1	XP_025562684.1	gene_10009.t1	gene_04222.t1	gene_12795.t1	gene_00193.t1	gene_02066.t1	gene_02551.t1	gene_01995.t1	XP_026622726.1	
OG0007074	XP_025385874.1	XP_041537821.1	XP_025481334.1	XP_001400456.1	XP_025458494.1	XP_025510095.1	XP_035355816.1	XP_025562685.1	gene_10008.t1	gene_04223.t1	gene_12794.t1	gene_00192.t1	gene_02065.t1	gene_02550.t1	gene_01994.t1	XP_026622725.1	
OG0007075	XP_025385877.1	XP_041537817.1	XP_025481331.1	XP_001400453.1	XP_025458491.1	XP_025510098.1	XP_035355813.1	XP_025562688.1	gene_10003.t1	gene_04226.t1	gene_12789.t1	gene_00187.t1	gene_02062.t1	gene_02547.t1	gene_01990.t1	XP_026622722.1	
OG0007076	XP_025385883.1	XP_041537810.1	XP_025481324.1	XP_059605165.1	XP_025458487.1	XP_025510106.1	XP_035355805.1	XP_025562694.1	gene_09996.t1	gene_04233.t1	gene_12781.t1	gene_00179.t1	gene_02055.t1	gene_02540.t1	gene_01982.t1	XP_026622717.1	
OG0007077	XP_025385886.1	XP_041537807.1	XP_025481321.1	XP_001400445.1	XP_025458485.1	XP_025510109.1	XP_035355802.1	XP_025562697.1	gene_09994.t1	gene_04236.t1	gene_12778.t1	gene_00176.t1	gene_02052.t1	gene_02537.t1	gene_01980.t1	XP_026622715.1	
OG0007078	XP_025385889.1	XP_041537805.1	XP_025481319.1	XP_001400443.3	XP_025458483.1	XP_025510121.1	XP_035355800.1	XP_025562699.1	gene_09992.t1	gene_04238.t1	gene_12776.t1	gene_00174.t1	gene_02050.t1	gene_02535.t1	gene_01978.t1	XP_026622713.1	
OG0007079	XP_025385890.1	XP_041537804.1	XP_025481318.1	XP_059600127.1	XP_025458482.1	XP_025510122.1	XP_035355799.1	XP_025562700.1	gene_09991.t1	gene_04239.t1	gene_12775.t1	gene_00173.t1	gene_02049.t1	gene_02534.t1	gene_01977.t1	XP_026622712.1	
OG0007080	XP_025385891.1	XP_041537803.1	XP_025481317.1	XP_059600126.1	XP_025458481.1	XP_025510123.1	XP_035355798.1	XP_025562701.1	gene_09990.t1	gene_04240.t1	gene_12774.t1	gene_00172.t1	gene_02048.t1	gene_02533.t1	gene_01976.t1	XP_026622711.1	
OG0007081	XP_025385892.1	XP_041537802.1	XP_025481316.1	XP_001400440.1	XP_025458480.1	XP_025510124.1	XP_035355797.1	XP_025562702.1	gene_09989.t1	gene_04241.t1	gene_12773.t1	gene_00171.t1	gene_02047.t1	gene_02532.t1	gene_01975.t1	XP_026622710.1	
OG0007082	XP_025385893.1	XP_041537801.1	XP_025481315.1	XP_001400439.1	XP_025458479.1	XP_025510125.1	XP_035355796.1	XP_025562703.1	gene_09988.t1	gene_04242.t1	gene_12772.t1	gene_00170.t1	gene_02046.t1	gene_02531.t1	gene_01974.t1	XP_026622709.1	
OG0007083	XP_025385895.1	XP_041537798.1	XP_025481313.1	XP_001400436.1	XP_025458476.1	XP_025510127.1	XP_035355795.1	XP_025562705.1	gene_09987.t1	gene_04243.t1	gene_12771.t1	gene_00169.t1	gene_00458.t1	gene_02529.t1	gene_01973.t1	XP_026622707.1	
OG0007084	XP_025385896.1	XP_041537797.1	XP_025481312.1	XP_001400435.3	XP_025458475.1	XP_025510128.1	XP_035355794.1	XP_025562706.1	gene_09986.t1	gene_04244.t1	gene_12770.t1	gene_00168.t1	gene_00457.t1	gene_02528.t1	gene_01972.t1	XP_026622706.1	
OG0007085	XP_025385904.1	XP_041537788.1	XP_025481302.1	XP_001400424.3	XP_025458467.1	XP_025510136.1	XP_035355784.1	XP_025562715.1	gene_09979.t1	gene_04252.t1	gene_12762.t1	gene_00160.t1	gene_00449.t1	gene_02521.t1	gene_01962.t1	XP_026622700.1	
OG0007086	XP_025385912.1	XP_041537782.1	XP_025481295.1	XP_001400419.1	XP_025458464.1	XP_025510143.1	XP_035355778.1	XP_025562720.1	gene_09974.t1	gene_04261.t1	gene_12755.t1	gene_00150.t1	gene_00444.t1	gene_02516.t1	gene_01957.t1	XP_026622697.1	
OG0007087	XP_025385933.1	XP_041537767.1	XP_025481279.1	XP_001400380.1	XP_025458433.1	XP_025518688.1	XP_035355764.1	XP_025562738.1	gene_09954.t1	gene_04281.t1	gene_12734.t1	gene_00129.t1	gene_00423.t1	gene_06662.t1	gene_01935.t1	XP_026622672.1	
OG0007088	XP_025385939.1	XP_041537761.1	XP_025481273.1	XP_059603531.1	XP_025458427.1	XP_025518682.1	XP_035355758.1	XP_025562744.1	gene_09949.t1	gene_04287.t1	gene_12729.t1	gene_00124.t1	gene_00418.t1	gene_06657.t1	gene_01930.t1	XP_026622666.1	
OG0007089	XP_025385940.1	XP_041537760.1	XP_025481272.1	XP_001400374.3	XP_025458426.1	XP_025518681.1	XP_035355757.1	XP_025562747.1	gene_09948.t1	gene_04288.t1	gene_12728.t1	gene_00123.t1	gene_00417.t1	gene_06656.t1	gene_01929.t1	XP_026622664.1	
OG0007090	XP_025385941.1	XP_041537759.1	XP_025481271.1	XP_059603530.1	XP_025458425.1	XP_025518680.1	XP_035355756.1	XP_025562748.1	gene_09947.t1	gene_04289.t1	gene_12727.t1	gene_00122.t1	gene_00416.t1	gene_06655.t1	gene_01928.t1	XP_026622663.1	
OG0007091	XP_025385942.1	XP_041537758.1	XP_025481270.1	XP_059603529.1	XP_025458424.1	XP_025518679.1	XP_035355755.1	XP_025562749.1	gene_09946.t1	gene_04290.t1	gene_12726.t1	gene_00121.t1	gene_00415.t1	gene_06654.t1	gene_01927.t1	XP_026622662.1	
OG0007092	XP_025385947.1	XP_041537752.1	XP_025481264.1	XP_001400365.1	XP_025458417.1	XP_025518672.1	XP_035355747.1	XP_025562757.1	gene_09939.t1	gene_04299.t1	gene_12720.t1	gene_00114.t1	gene_00406.t1	gene_06645.t1	gene_01916.t1	XP_026622656.1	
OG0007093	XP_025385952.1	XP_041537746.1	XP_025481259.1	XP_001400359.3	XP_025458411.1	XP_025518668.1	XP_035355741.1	XP_025562762.1	gene_09933.t1	gene_04305.t1	gene_12714.t1	gene_00108.t1	gene_00400.t1	gene_06639.t1	gene_01910.t1	XP_026622650.1	
OG0007094	XP_025385953.1	XP_041537745.1	XP_025481258.1	XP_059600108.1	XP_025458410.1	XP_025518667.1	XP_035355740.1	XP_025562763.1	gene_09932.t1	gene_04306.t1	gene_12713.t1	gene_00107.t1	gene_00399.t1	gene_06638.t1	gene_01909.t1	XP_026622649.1	
OG0007095	XP_025385957.1	XP_041537742.1	XP_025481255.1	XP_001400353.1	XP_025458406.1	XP_025518664.1	XP_035355737.1	XP_025562767.1	gene_09929.t1	gene_04310.t1	gene_12709.t1	gene_00104.t1	gene_00396.t1	gene_06635.t1	gene_01906.t1	XP_026622644.1	
OG0007096	XP_025385968.1	XP_041537734.1	XP_025481246.1	XP_059600095.1	XP_025458395.1	XP_025518655.1	XP_035355729.1	XP_025562778.1	gene_09919.t1	gene_04320.t1	gene_12700.t1	gene_00095.t1	gene_00386.t1	gene_06625.t1	gene_01897.t1	XP_026622632.1	
OG0007097	XP_025385979.1	XP_041537722.1	XP_025481234.1		XP_025458384.1	XP_025518644.1	XP_035355717.1	XP_025562789.1	gene_09906.t1	gene_04333.t1	gene_12688.t1	gene_00082.t1	gene_00374.t1	gene_06613.t1	gene_01885.t1	XP_026622620.1	XP_958278.2
OG0007098	XP_025385993.1	XP_041537707.1	XP_025481218.1	XP_001400304.1	XP_025458368.1	XP_025518631.1	XP_035355703.1	XP_025562804.1	gene_09892.t1	gene_11458.t1	gene_12673.t1	gene_00068.t1	gene_00360.t1	gene_06596.t1	gene_01871.t1	XP_026622604.1	
OG0007099	XP_025386000.1	XP_041537700.1	XP_025481210.1	XP_059603523.1	XP_025458360.1	XP_025518624.1	XP_035355696.1	XP_025562811.1	gene_09884.t1	gene_11450.t1	gene_12665.t1	gene_00060.t1	gene_00352.t1	gene_06588.t1	gene_01864.t1	XP_026622595.1	
OG0007100	XP_025386005.1	XP_041537695.1	XP_025481205.1	XP_059603518.1	XP_025457970.1	XP_025518618.1	XP_035355690.1	XP_025564298.1	gene_09752.t1	gene_11445.t1	gene_12660.t1	gene_00055.t1	gene_07651.t1	gene_10716.t1	gene_01859.t1	XP_026622741.1	
OG0007101	XP_025386007.1	XP_041537693.1	XP_025481201.1		XP_025457967.1	XP_025518615.1	XP_035355688.1	XP_025564296.1	gene_09754.t1	gene_11443.t1	gene_12657.t1	gene_00053.t1	gene_07649.t1	gene_10714.t1	gene_01857.t1	XP_026622743.1	XP_965174.1
OG0007102	XP_025386009.1	XP_041537691.1	XP_025481199.1	XP_001400283.1	XP_025457965.1	XP_025518613.1	XP_035355686.1	XP_025564294.1	gene_09756.t1	gene_11441.t1	gene_12655.t1	gene_00051.t1	gene_07647.t1	gene_10712.t1	gene_01855.t1	XP_026622745.1	
OG0007103	XP_025386010.1	XP_041537690.1	XP_025481198.1	XP_001400282.1	XP_025457964.1	XP_025518612.1	XP_035355685.1	XP_025564293.1	gene_09757.t1	gene_11440.t1	gene_12654.t1	gene_00050.t1	gene_07646.t1	gene_10711.t1	gene_01854.t1	XP_026622746.1	
OG0007104	XP_025386011.1	XP_041537689.1	XP_025481197.1	XP_001400280.1	XP_025457962.1	XP_025518611.1	XP_035355684.1	XP_025564292.1	gene_09758.t1	gene_11439.t1	gene_12653.t1	gene_00049.t1	gene_07645.t1	gene_10710.t1	gene_01853.t1	XP_026622747.1	
OG0007105	XP_025386013.1	XP_041537688.1	XP_025481196.1	XP_059603512.1	XP_025457960.1	XP_025518610.1	XP_035355683.1	XP_025564291.1	gene_09759.t1	gene_11438.t1	gene_12651.t1	gene_00048.t1	gene_07644.t1	gene_10709.t1	gene_01852.t1	XP_026622749.1	
OG0007106	XP_025386017.1	XP_041537682.1	XP_025481190.1	XP_059600087.1	XP_025457956.1	XP_025518606.1	XP_035355677.1	XP_025564286.1	gene_09765.t1	gene_11432.t1	gene_12645.t1	gene_00042.t1	gene_07638.t1	gene_10703.t1	gene_01846.t1	XP_026622754.1	
OG0007107	XP_025386021.1	XP_041537677.1	XP_025481186.1	XP_001400265.1	XP_025457952.1	XP_025518602.1	XP_035355673.1	XP_025564282.1	gene_09769.t1	gene_11428.t1	gene_12641.t1	gene_00038.t1	gene_07634.t1	gene_12774.t1	gene_01842.t1	XP_026622759.1	
OG0007108	XP_025386027.1	XP_041537671.1	XP_025481179.1	XP_059603502.1	XP_025457944.1	XP_025518594.1	XP_035355667.1	XP_025564275.1	gene_09776.t1	gene_11161.t1	gene_12635.t1	gene_00032.t1	gene_07628.t1	gene_03468.t1	gene_01836.t1	XP_026622766.1	
OG0007109	XP_025386028.1	XP_041537670.1	XP_025481178.1	XP_001400255.1	XP_025457943.1	XP_025518593.1	XP_035355666.1	XP_025564274.1	gene_09777.t1	gene_11160.t1	gene_12634.t1	gene_00031.t1	gene_07627.t1	gene_03467.t1	gene_01834.t1	XP_026622767.1	
OG0007110	XP_025386034.1	XP_041537664.1	XP_025481172.1	XP_001400247.1	XP_025457936.1	XP_025518588.1	XP_035355660.1	XP_025564268.1	gene_09783.t1	gene_11153.t1	gene_12627.t1	gene_00025.t1	gene_07620.t1	gene_03460.t1	gene_01827.t1	XP_026622773.1	
OG0007111	XP_025386035.1	XP_041537663.1		XP_001400246.1	XP_025457935.1	XP_025518587.1	XP_035355659.1	XP_025564267.1	gene_09784.t1	gene_11152.t1	gene_12626.t1	gene_00024.t1	gene_07619.t1	gene_03459.t1	gene_01826.t1	XP_026622774.1	XP_956348.3
OG0007112	XP_025386037.1	XP_041537661.1	XP_025481170.1	XP_001400244.1	XP_025457933.1	XP_025518585.1	XP_035355657.1	XP_025564264.1	gene_09786.t1	gene_11150.t1	gene_12624.t1	gene_00022.t1	gene_07617.t1	gene_03457.t1	gene_01824.t1	XP_026622777.1	
OG0007113	XP_025386038.1	XP_041537660.1	XP_025481169.1	XP_001400243.1	XP_025457932.1	XP_025518584.1	XP_035355656.1	XP_025564263.1	gene_09787.t1	gene_11149.t1	gene_12623.t1	gene_00021.t1	gene_07616.t1	gene_03456.t1	gene_01823.t1	XP_026622778.1	
OG0007114	XP_025386040.1	XP_041537658.1	XP_025481167.1	XP_001400238.1	XP_025457928.1	XP_025518582.1	XP_035355654.1	XP_025564261.1	gene_09789.t1	gene_11147.t1	gene_12621.t1	gene_00019.t1	gene_07614.t1	gene_03454.t1	gene_01821.t1	XP_026622780.1	
OG0007115	XP_025386041.1	XP_041537657.1	XP_025481166.1	XP_001400237.1	XP_025457927.1	XP_025518581.1	XP_035355653.1	XP_025564260.1	gene_09790.t1	gene_11146.t1	gene_12620.t1	gene_00018.t1	gene_07613.t1	gene_03453.t1	gene_01820.t1	XP_026622781.1	
OG0007116	XP_025386042.1	XP_041537656.1	XP_025481165.1	XP_001400236.3	XP_025457926.1	XP_025518580.1	XP_035355652.1	XP_025564259.1	gene_09791.t1	gene_11145.t1	gene_12619.t1	gene_00017.t1	gene_07612.t1	gene_03452.t1	gene_01819.t1	XP_026622782.1	
